joined,churned
12/28/17 23:15,1/28/18 23:15
4/13/18 7:57,5/13/18 7:57
3/22/18 14:01,8/22/18 16:01
3/10/18 7:55,4/10/18 6:55
10/11/17 1:18,11/11/17 1:18
12/14/17 17:03,1/14/18 17:03
1/8/18 8:28,2/8/18 8:28
12/25/17 0:36,8/25/18 2:35
6/18/17 19:46,7/25/17 19:46
12/6/17 6:18,1/6/18 6:18
10/26/17 10:07,11/26/17 11:07
1/14/18 20:22,3/14/18 20:22
8/12/17 1:03,10/12/17 1:03
4/17/18 17:20,5/17/18 17:20
6/23/17 4:43,7/23/17 4:43
7/24/16 23:55,8/24/16 23:55
10/2/17 10:55,11/2/17 10:55
11/7/17 1:48,12/7/17 1:48
12/22/17 6:06,3/8/18 14:38
10/5/17 21:36,11/5/17 21:36
9/6/17 5:19,8/7/18 7:19
1/29/18 16:03,3/7/18 16:03
4/21/18 23:31,8/22/18 1:31
10/2/17 17:23,11/2/17 17:23
3/3/18 3:21,4/3/18 2:21
12/3/17 13:46,8/7/18 15:46
8/2/18 18:05,9/2/18 18:05
4/1/18 3:16,5/1/18 3:16
5/30/17 14:48,6/30/17 14:48
3/7/18 5:47,8/8/18 0:28
3/25/18 10:10,8/25/18 10:10
3/18/18 5:27,8/18/18 7:27
2/28/18 17:26,6/29/18 22:49
1/30/18 17:57,5/5/18 17:56
6/11/18 2:24,7/11/18 2:24
12/17/17 3:10,1/24/18 3:10
3/30/17 15:42,5/7/17 15:42
6/15/18 20:44,7/15/18 20:44
4/20/18 13:10,5/20/18 13:10
3/26/17 14:58,5/26/17 14:57
2/9/18 17:27,8/9/18 16:27
8/10/17 10:50,8/10/18 10:50
6/14/18 4:49,7/14/18 4:49
10/12/17 5:32,11/12/17 6:32
2/13/18 23:04,3/13/18 23:04
12/17/17 8:11,1/17/18 8:11
3/8/18 20:04,8/8/18 19:04
8/3/18 21:06,8/3/18 22:00
12/16/17 1:11,1/16/18 1:11
3/5/18 9:11,4/5/18 8:11
1/20/18 20:26,4/20/18 19:26
10/2/17 1:14,11/2/17 1:14
7/17/18 18:17,8/17/18 18:17
11/10/17 6:00,1/10/18 6:00
10/17/17 1:51,1/17/18 2:51
10/11/17 6:29,2/11/18 6:29
6/14/18 15:46,7/14/18 15:46
3/7/18 16:48,6/14/18 16:48
12/5/17 2:14,1/5/18 2:14
11/17/17 14:58,12/17/17 14:58
5/19/17 1:04,6/19/17 1:04
1/6/18 8:57,2/6/18 8:57
8/7/17 8:38,9/7/17 8:38
11/29/17 22:16,12/29/17 22:16
12/22/17 20:37,1/29/18 20:36
1/15/18 21:40,2/15/18 21:40
3/21/18 15:42,8/13/18 0:59
6/8/18 19:56,7/8/18 19:56
9/26/17 3:17,10/26/17 3:17
4/25/18 18:48,5/25/18 18:48
3/14/17 0:06,4/21/17 0:06
2/25/18 13:59,3/25/18 12:59
3/26/18 21:52,8/26/18 23:10
1/16/18 1:29,2/16/18 1:29
1/6/18 6:26,2/6/18 6:25
10/24/17 2:38,6/27/18 14:08
3/14/18 12:38,4/14/18 12:37
6/11/18 13:06,8/11/18 13:06
12/4/17 16:23,3/4/18 16:23
12/21/17 7:23,1/21/18 7:23
1/10/18 8:50,3/10/18 8:50
1/23/18 18:21,2/23/18 18:21
1/16/18 14:01,2/16/18 14:01
6/7/18 19:22,8/7/18 21:22
11/21/17 20:09,3/21/18 19:09
3/11/17 7:38,10/17/17 21:34
3/15/18 18:00,5/15/18 18:00
2/20/18 22:20,3/20/18 21:20
1/28/18 19:14,2/28/18 19:14
7/9/18 4:01,8/9/18 4:01
6/10/18 12:47,8/10/18 12:47
7/13/18 20:59,8/13/18 20:59
9/29/17 9:25,5/28/18 9:25
2/14/18 13:04,3/14/18 13:03
7/14/18 15:53,8/14/18 15:53
4/23/17 21:40,7/23/17 21:40
4/16/17 5:06,6/16/17 5:06
12/11/17 19:23,2/11/18 19:23
11/12/17 3:23,8/12/18 5:23
1/1/18 17:29,9/1/18 16:29
6/5/18 3:35,7/5/18 3:35
9/20/17 17:59,1/20/18 17:59
6/3/18 6:14,9/3/18 6:14
1/26/18 13:47,5/7/18 19:19
4/3/18 2:48,7/3/18 2:47
4/28/18 15:50,6/28/18 15:47
4/10/18 20:28,8/10/18 22:28
10/3/17 6:51,11/3/17 6:51
1/24/18 20:16,2/24/18 20:16
7/6/18 21:01,8/6/18 21:01
5/28/18 3:47,6/28/18 3:47
1/11/18 18:22,2/11/18 18:22
1/16/18 1:21,2/16/18 1:21
5/16/17 21:12,7/23/17 21:12
7/31/18 19:52,8/31/18 21:52
11/29/17 21:15,1/29/18 21:15
4/30/18 21:05,6/6/18 21:04
12/12/17 2:26,1/12/18 2:26
3/16/18 9:19,5/16/18 9:19
6/24/18 8:01,8/24/18 8:01
5/9/18 16:07,8/9/18 18:07
9/28/17 3:26,10/28/17 3:26
7/12/18 21:54,8/12/18 21:54
4/12/17 18:29,5/12/17 18:29
8/2/18 14:20,9/2/18 16:20
7/23/18 20:48,8/23/18 20:48
2/13/18 14:54,4/13/18 13:54
8/18/17 23:34,9/18/17 23:34
5/6/18 20:43,6/13/18 20:43
11/6/17 20:23,12/6/17 20:23
5/29/17 11:45,9/30/17 20:57
2/16/18 11:14,5/16/18 10:14
2/26/18 5:45,3/26/18 5:45
4/10/18 15:50,5/10/18 15:50
5/8/18 10:59,6/8/18 10:59
1/7/18 15:20,3/7/18 15:20
8/30/17 13:41,11/2/17 2:59
5/9/17 0:23,8/2/17 17:16
1/19/18 11:46,4/26/18 11:46
3/20/18 4:13,8/20/18 6:12
2/6/18 20:44,3/6/18 20:44
5/7/18 10:04,7/7/18 10:04
5/4/18 20:59,9/4/18 22:58
4/11/17 18:41,8/18/17 18:40
7/26/18 0:25,8/26/18 2:25
3/11/18 19:25,8/11/18 19:25
6/11/18 16:10,7/11/18 16:09
10/3/17 4:20,11/3/17 4:20
6/6/18 16:48,7/6/18 16:44
7/4/18 23:17,9/5/18 1:17
7/1/18 22:39,8/1/18 22:39
6/2/18 22:43,9/3/18 0:42
11/6/17 12:38,12/6/17 12:38
9/1/17 2:28,10/8/17 2:27
3/11/18 3:41,8/11/18 5:41
9/29/17 0:25,4/28/18 6:58
4/3/17 3:37,5/3/17 3:37
